a-pinene	ß-Thujene	(+)-Camphene	Camphene	B-pinene	sabinene	a-Fenchene	3-carene	Cosmene	a-Thujene	B-myrcene	a-Terpinene	D-limonene	ß-Phellandrene	Eucalyptol	trans-ß-Ocimene	Y-terpinene	ß-cis-Ocimene	o-cymene	Terpinolene	p-Cymenene	trans-2-Pinanol	Linalool	Patchoulene	a-Bergamotene	Sabinene hydrate	a-Gurjunene/beta	a-Cubebene	ß-Guaiene	γ-amorphene	B-elemene	Caryophyllene	ß-Famesene	Terpinen-4-ol	(cis-)a-Bisabolene	a-Elemene	humulene	a-Bulnesene	δ-candinene	γ-elemene	a-Terpineol	alfa.-Copaene	ß-copaene	a-ylangene	ß-ylangene	a-Guaiene	ß-Guaiene	ß-Longipinene	Germacrene B	a-acorenol	Ethyl iso-allocholate	a-Amorphene	γ-Muurolene	Germacrene D	a-Himachalene	Nerolidyl acetate	Isomenthol acetate	Eremophilene	ß-Selinene
10386253	0	0	205206	375088	0	0	28432	0	0	1903268	339496	4699055	62850	0	0	1071594	0	270884	160484	0	0	35761	0	0	0	0	0	0	0	0	0	0	0	38769	0	0	0	0	0	0	0	0	0	0	0	0	22057	0	0	29095	0	0	0	0	0	0	0	0
15190073	251148	0	496721	832304	718531	0	48500	0	0	1759818	83857	6980621	0	248978	0	301425	11377	189274	60012	0	0	0	0	0	0	0	0	0	0	20321	67267	10090	0	0	0	0	0	0	0	40640	0	113843	0	0	0	0	0	0	26603	54982	0	0	17468	0	0	0	0	0
7969913	291445	0	340855	590798	1809820	0	27807	0	0	2692949	167354	4652242	262905	0	0	791500	7321	136378	175906	0	0	72966	0	0	0	0	0	0	0	0	70017	0	0	0	0	44014	0	0	0	0	0	0	0	0	0	0	0	0	0	8619	0	0	173208	0	0	0	0	0
21136477	963747	0	426389	958412	4555752	0	37074	13569	0	3880871	305600	1114552	262905	0	0	1237192	6565	294851	175906	0	0	89385	0	0	29286	0	13310	0	0	27039	88384	5351	0	0	0	54725	0	84004	0	0	0	6946	0	0	0	0	0	57373	0	164775	0	0	157461	0	0	0	0	0
15967896	448923	0	273527	903941	51378	0	168058	0	121254	2391118	365214	2401899	221214	0	0	1204120	22990	298378	156030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55835	0	0	0	0	0	0	0	0	0	0	17668	102273	0	0	62188	0	0	0	0	0
7250623	277543	0	374692	694143	142592	0	99934	0	67739	1441736	269262	1673091	136582	0	0	930128	16036	307501	123946	0	0	32429	0	0	0	0	0	0	0	0	30184	0	0	14750	0	0	0	17816	0	0	15342	35951	7843	0	0	0	0	0	16162	121757	0	0	0	0	0	0	0	0
38997083	963747	39250	833155	3420124	89242	0	88730	0	34572	5383215	501011	8304902	200995	0	0	1682086	66722	947527	432347	0	0	25206	0	15015	0	0	0	0	0	0	69716	0	0	0	0	98284	0	124053	0	0	89649	18053	0	0	0	0	0	0	17668	102273	0	0	62188	0	0	0	0	0
19843494	764716	0	373263	653048	2396138	0	24942	0	0	2475932	339496	703820	63648	0	0	696336	0	153911	117145	0	0	35913	0	0	0	0	0	9559	0	22214	46044	0	0	26841	0	0	0	28202	0	0	22967	0	18178	0	0	0	0	0	20941	60144	0	0	0	0	0	0	0	0
13739597	509876	0	212699	925468	1657074	0	23968	0	0	2053361	146709	5839250	63916	0	0	1133235	0	136759	101309	0	0	0	0	0	0	0	20499	0	0	17762	53737	0	0	0	0	26342	0	31163	0	0	22588	10533	20834	0	0	0	0	20941	0	0	0	0	92561	0	0	0	0	0
112351407	3323969	122682	1586832	6892830	14505850	0	99762	58167	0	16113251	1103382	6486854	590523	0	0	2130606	40072	528904	1013311	0	0	24059	0	67620	198791	0	613324	0	245475	636879	1352513	316025	86052	0	0	831230	43071	1618447	61898	0	787542	61479	20834	0	0	0	0	548826	0	60144	515317	94293	2506666	0	0	0	0	0
14279574.78	134602.652	0	267534.86	841282.519	0	0	27787.974	0	0	3593456.729	241515.296	976920.794	82174.498	0	0	592161.75	0	335621.411	120557.853	0	0	168612.641	0	0	74235.03	0	0	0	0	0	0	0	32000.622	12780.208	0	0	0	0	0	0	0	14364.632	0	11871.16	0	0	14236.032	0	0	57999.847	0	0	0	0	0	0	0	0
24130912.275	1158742.764	0	635736.238	718076.77	2271873.319	0	38097.494	0	9071.035	2922612.086	276139.396	3220922.479	96282.415	42464.617	0	1109486.134	11360.244	394447.774	186694.198	0	0	31958.739	20846.481	0	25140.665	0	23318.063	0	0	28647.448	58401.426	0	0	29471.555	0	0	0	28669.247	0	0	18524.253	65506.079	0	0	0	0	0	0	4099.133	0	9963.519	0	0	0	0	0	0	0
13365059.619	339832.752	0	287017.357	696776.875	1632044.826	0	303803.619	0	498227.734	1732625.723	215297.378	1865059.104	375188.882	202431.017	0	440058.701	0	448896.091	105178.53	0	0	34210.111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14040.742	0	0	8098.866	0	15933.543	0	0	0	0	0	93256.274	0	0	0	0	0	0	0	0
135664792.614	4953238.081	140871.865	2145348.843	22852015.146	7434534.15	366640.474	1728597.937	0	33802.15	21226682.79	149029.065	86473410.672	869524.196	0	0	17110856.085	1449206.839	5579866.33	988320.196	0	0	134514.072	0	72101.57	46282.448	0	215813.513	0	0	129354.205	1217290.356	0	19988.669	117520.487	0	131089.704	0	51376.495	0	215589.137	198753.978	54867.651	19766.075	31320.293	0	0	17585.803	0	0	0	0	0	0	0	0	0	0	0
14667057.784	477259.363	12599.955	310196.497	995515.839	128707.862	0	45810.664	0	19672.22	2853510.53	286869.272	5749874.257	42560.979	115680.798	0	784112.725	12098.301	513771.549	146831.816	0	0	41845.849	0	0	23296.932	0	0	0	0	0	0	21226.618	9930.974	16694.2	0	0	0	18077.487	0	0	6516.249	19450.804	0	0	0	0	0	0	11906.751	95209.198	0	0	0	0	0	0	0	0
12243268.655	115083.186	0	172249.069	1267496.684	159325.213	0	0	0	0	750875.324	77310.286	1041768.681	55775.713	0	0	169221.397	17835.935	199971.878	53333.048	0	0	0	0	0	0	0	0	0	0	0	21701.022	0	5998.243	0	0	0	0	0	0	0	0	6579.621	0	0	0	0	0	0	0	104339.643	0	0	0	0	0	0	0	0
13920647.99	106823.471	0	199819.326	828950.762	0	0	28285.751	0	0	3459181.264	244841.189	501978.506	98722.028	0	0	439684.825	0	150614.776	128182.821	0	0	43473.647	0	0	30480.209	0	0	0	0	0	32849.356	0	9382.033	25318.998	0	0	0	26786.172	0	0	0	30956.548	9487.113	0	0	0	0	0	12253.708	80324.069	0	0	0	0	0	0	0	0
9838661.283	146532.94	0	104983.234	482425.374	424972.517	0	0	0	0	1278978.242	80358.385	303634.018	29275.087	0	0	96860.912	0	22871.515	42375.996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13673.791	0	0	0	0	0	0	0	8539.111	8344.441	0	0	0	24383.678	0	0	108376.921	0	0	0	0	0	0	0	0
1987083.92	85802.692	0	35450.316	352451.109	208863.475	0	0	0	0	732433.104	62834.991	2128875.876	30545.575	20796.74	0	382233.941	0	95979.983	46038.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14578.751	35039.063	18705.942	0	0	0	21045.941	0	0	152930.792	0	0	0	0	0	0	0	0
13227416.149	206070.879	0	203328.004	900704.206	902648.914	0	7356.767	0	0	1241792.603	31683.877	724974.64	24441.194	0	0	154537.211	0	306886.709	64402.162	0	0	0	0	0	0	0	0	0	0	0	29204.731	0	0	0	0	0	0	0	0	0	0	8430.431	8102.889	0	0	0	0	0	0	89749.774	0	0	0	0	0	0	0	0
8565996.982	319357	0	483075.987	567285.78	3543352.94	0	19307.453	0	0	1814037.142	42294.636	1145012.075	55387.005	0	0	697396.833	0	306334.021	118171.628	0	0	374584.856	0	0	53824.26	0	0	0	0	13302.406	12764.807	0	4833.171	0	0	0	0	0	0	0	0	38918.893	8700.21	9916.936	0	0	0	0	25025.387	97648.184	0	0	0	0	0	0	0	0
67558022.595	2685947.83	59117.795	1238583.104	3883042.223	1832019.871	0	290421.642	0	187581.392	11212908.328	1097809.179	41710399.371	2058632.187	0	0	4469150.915	18686.383	898982.39	651858.993	10425.428	0	212364.095	31819.077	11035.613	38200.187	38310.864	73261.394	0	0	82400.741	213587.307	47050.784	23521.213	0	0	116830.192	0	218081.408	0	0	41769.431	16223.262	142818.133	12506.137	0	0	0	82006.939	16814.372	86842.068	0	0	309753.799	0	0	0	0	0
13593415.283	384659.458	0	318613.516	727959.816	1259883.728	0	25039.588	0	13350.061	2094070.785	127980.289	3129878.239	78674.328	0	0	650047.224	0	131347.136	86761.283	0	0	27071.225	0	0	0	0	0	0	0	0	41726.125	0	0	21218.273	0	0	0	27758.955	0	0	0	65564.202	18783.647	10826.773	0	0	0	0	0	151252.15	0	0	0	0	0	0	0	0
2106601.55	87093.017	0	84699.434	133018.007	350924.166	0	0	0	65261.374	475885.432	66393.315	2140387.189	0	1157250.541	0	651678.105	28193.478	387486.346	52859.539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13616.279	0	14383.843	9329.249	8667.622	0	0	0	0	0	99482.378	0	0	0	0	0	0	0	0
3421319.461	117384.729	0	93733.716	242802.974	556803.454	0	0	0	0	637178.857	52441.241	707357.074	25075.267	0	0	351547.866	0	162100.277	64480.712	0	0	45374.909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51760.605	0	0	0	0	0	0	0	0
76252371.659	1472764.064	78518.757	806240.278	2980706.148	2038012.767	0	88003.935	43727.875	93554.887	22580239.415	1144360.356	4519609.602	436849.353	0	26476.914	1736255.805	0	509190.254	666477.333	22745.362	0	18171.142	18821.793	0	74012.674	0	119238.921	0	145735.51	84934.406	767244.34	21464.242	33934.253	0	45311.838	456237.996	44570.685	524859.572	0	0	98333.512	517057.193	24639.962	12158.358	0	36964.736	0	162286.402	0	168510.537	150955.431	94321.12	0	0	0	0	0	0
22073662.205	556534.094	0	535160.157	5463265.781	1932664.157	0	326046.248	0	75603.538	8294022.535	272341.851	180330336.755	1134771.785	359824.304	37417.26	6747447.967	120524.226	1759674.357	518588.127	0	0	45962.456	11283.242	20539.038	0	0	62424.583	0	0	37723.089	235518.498	0	0	0	0	117242.763	0	94301.099	0	25909.911	76745.744	182671.924	29379.113	19139.632	0	0	0	0	28878.71	186627.273	43660.983	0	0	0	0	0	0	0
55348186.911	1113595.921	0	584834.167	3520853.88	5990710.252	0	50492.984	46622.893	48420.085	16415136.233	601926.071	3461699.434	0	557161.941	0	976741.77	0	375882.021	431359.939	14052.1	0	0	15985.989	0	62636.987	0	44433.854	0	40782.549	63982.697	172330.06	30391.559	32777.606	0	0	173489.847	0	256377.331	28465.541	0	38066.687	421324.991	78937.4	33309.618	114547.321	0	0	135092.584	0	124234.48	0	0	0	0	0	0	0	0
10556814.629	365300.715	0	229147.574	453900.013	1691984.875	0	17068.617	0	0	1561553.914	85368.386	481534.304	38865.863	0	0	437677.017	0	176927.668	71311.888	0	0	20039.391	0	0	15094.201	0	0	0	0	0	25759.884	0	0	13872.689	0	0	0	12218.665	0	0	0	58485.099	0	0	0	0	0	0	19005.004	127308.936	0	0	0	0	0	0	0	0
13382447.009	622794.477	0	136376.119	1417193.269	82510.727	0	29177.225	0	10714.698	1999469.031	168723.725	2569574.641	106256.06	0	0	736304.964	0	516185.331	130147.383	0	0	0	0	0	0	0	12040.411	0	0	0	38968.605	0	6626.998	22157.53	0	0	22396.361	33760.368	0	0	8067.311	17156.949	13053.957	0	0	0	0	0	0	136021.311	0	0	0	0	0	0	0	0
1754862.284	14558.397	0	141254.878	408891.004	121737.778	0	0	0	0	251076.18	42036.991	574169.552	25718.948	0	0	168246.616	0	77410.7	31659.275	0	35931.364	72657.416	0	0	31353.054	0	14991.938	4993.839	0	28730.264	88425.253	0	0	0	0	57720.23	0	66231.992	0	0	16906.989	161891.732	25234.318	0	0	0	0	0	46575.72	105266.635	0	0	0	0	0	0	0	0
27809630.655	663495.135	0	393008.14	1241523.438	2442891.355	0	47781.383	0	9088.858	6059564.267	225643.734	1506136.406	155502.095	0	0	827426.798	0	240319.979	189583.968	0	0	16469.829	12969.423	0	81876.27	30958.838	95627.907	0	0	40416.315	286432.978	0	0	0	0	84435.593	0	73174.987	0	0	132299.521	13467.016	31130.372	14898.531	0	0	0	0	26496.763	150377.667	0	0	146834.398	0	0	0	0	0
55945069.043	3383247.026	59585.98	712724.739	2731849.619	4904666.131	0	153802.547	0	76599.343	12187363.634	2200331.482	6957581.21	502768.409	0	0	4082170.056	70318.632	608270.349	1034314.021	0	0	137427.594	20621.54	0	126749.345	23829.206	130085.962	0	0	175185.331	429339.487	61254.893	34246.003	0	0	257887.225	0	361380.303	56630.622	0	0	59755.627	95451.749	68963.811	0	10926.738	0	313961.646	0	57441.444	194100.134	0	639293.252	0	0	0	0	0
46877293.172	1591417.912	80036.957	715240.521	1758220.335	559312.152	0	97544.8	0	112741.251	6791849.507	872409.278	3035967.526	435546.511	0	0	1623311.705	0	819322.675	498957.618	24041.295	0	18861.46	26545.391	0	0	0	76833.865	0	0	81984.827	561319.795	15358.756	25756.782	0	0	249146.363	0	164072.711	0	0	54850.432	41913.926	0	60770.939	0	0	0	84881.071	0	164390.405	89075.267	0	150795.828	0	0	0	0	0
38070368.356	2887333.088	57757.017	773542.153	5900914.342	3939472.171	0	1101074.403	0	128477.247	7024054.952	1484394.761	6175058.226	812928.06	0	0	2678779.833	0	1629598.582	697993.741	0	0	39687.628	0	0	133397.928	0	0	0	0	82242.213	515605.797	18798.83	0	0	0	0	0	184490.849	0	0	80746.402	0	0	37260.428	0	0	0	81411.87	0	98476.768	0	0	146631.206	0	0	0	0	138984.938
36808898.956	951098.241	0	394863.435	6221578.196	841189.25	0	56579.546	0	153542.144	7858854.154	836609.074	43683566.861	2985544.808	0	72657.554	3591419.17	261901.958	308583.275	454095.602	0	0	32055.018	0	16359.574	52408.956	63204.415	292668.358	0	49584.334	78661.028	496593.245	96225.721	0	0	167967.69	204180.004	0	726796.304	26935.73	0	593784.884	123192.722	25824.718	68042.272	0	0	0	91511.13	34389.972	86306.231	0	0	511614.599	0	0	0	36345.853	0
3171344.106	104358.319	0	169828.783	487832.176	301431.057	0	557482.426	0	0	1004517.919	69857.098	11480498.299	95365.094	0	0	616648.34	23214.713	415308.048	81886.122	0	0	70931.177	0	0	0	0	0	0	0	0	31240.294	0	10225.244	19007.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20459.11	124954.556	0	0	19748.161	0	0	250860.42	0	0
10348100.432	358952.379	0	408966.051	1592057.054	418788.81	0	27920.814	0	0	2417795.236	303470.507	7083692.464	179551.938	0	0	1689955.369	0	341643.693	194576.429	0	0	45850.013	0	31503.274	0	0	25512.917	0	0	33387.49	108044.986	24060.888	9092.99	45357.662	0	0	0	81113.137	0	0	30787.751	13673.203	0	14013.784	0	0	0	32206.201	0	139536.294	0	0	131403.276	63105.443	35218.14	0	0	0
